before;after;;;
kangeenn;kangen;;;
kangem;kangen;;;
kangenn;kangen;;;
kangennn;kangen;;;
kangennnn;kangen;;;
kangennnnn;kangen;;;
kangennnnnmnnnnnnnnnnnnnnnnn;kangen;;;
kangennnnnn;kangen;;;
kangennnnnnn;kangen;;;
kangennnnnnnnnnnnnnnn;kangen;;;
kanggen;kangen;;;
kanggggg;kang;;;
kann;kan;;;
kannn;kan;;;
kapaan;kapan;;;
kapan2;kapan kapan;;;
kapjagi;tiba tiba;;;
kapn;kapan;;;
karakterny;karakternya;;;
kareno;karena;;;
karir.a;karirnya;;;
karmaaa;karma;;;
karna;karena;;;
kartunin;kartun;;;
"karya\\""""";karya karya;;;
karya2;karya karya;;;
kasar2;kasar kasar;;;
kasi;kasih;;;
kasiaannn;kasihan;;;
kasian;kasihan;;;
kasiannn;kasihan;;;
kasiatnya;khasiatnya;;;
kasihn;kasihan;;;
kasiian;kasihan;;;
"kata\\""""";kata kata;;;
"kata\\""""";kata kata;;;
kata2;kata kata;;;
kata2nya;kata katanya;;;
kata2nyaaa;kata katanya;;;
katanyaa;katanya;;;
kate;kata;;;
kauuuu;kau;;;
kawinin;mengawini;;;
kaya;seperti;;;
kayaa;kaya;;;
kaya'a;sepertinya;;;
kayahhh;kaya;;;
kayak;seperti;;;
kayakk;seperti;;;
kayaknya;sepertinya;;;
kayanya;sepertinya;;;
kayanye;sepertinya;;;
kayaq;seperti;;;
kayax;sepertinya;;;
kbahagiaan;kebahagiaan;;;
kbawa;terbawa;;;
kberkahn;keberkahan;;;
kbetulan;kebetulan;;;
kbiasaan;kebiasaan;;;
kcantikan;kecantikan;;;
kcewa;kecewa;;;
kcil;kecil;;;
kcwa;kecewa;;;
kdang;kadang;;;
kdg;kadang;;;
kdg2;kadang kadang;;;
kdng;kadang;;;
kdua;kedua;;;
keabisan;kehabisan;;;
keak;seperti;;;
kebaca;terbaca;;;
kebacut;keterlaluan;;;
kebagi;terbagi;;;
"kebaikan\\""y""";kebaikannya;;;
kebalas;terbalas;;;
kebangetak;kebangetan;;;
kebanggan;kebanggaan;;;
kebarat2an;kebarat baratan;;;
kebawa;terbawa;;;
kebayang;terbayang;;;
kebayanyaa;kebayanya;;;
keberpa;keberapa;;;
kebnyak'an;kebanyakan;;;
kebongkar;terbongkar;;;
kebukaaa;terbuka;;;
kebukti;terbukti;;;
keburu;terburu;;;
kebykan;kebanyakan;;;
kecantikanga;kecantikannya;;;
kece;keren sekali;;;
kece2;kece kece;;;
kecee;keren sekali;;;
keceee;keren sekali;;;
keche;keren sekali;;;
keciil;kecil;;;
keciill;kecil;;;
kecik;kecil;;;
"kecil\\""""";kecil kecil;;;
kecptan;kecepatan;;;
kecr;kece;;;
kedengeran;kedengaran;;;
kedokk;kedok;;;
kedpan;kedepan;;;
keduaa;kedua;;;
keedaannya;keadaannya;;;
keee;ke;;;
keeeeeren;keren;;;
keeeerrrreeeennnnnnnnn;keren;;;
kegoda;tergoda;;;
keinget;teringat;;;
kejadianny;kejadiannya;;;
kejahatn;kejahatan;;;
kejawab;terjawab;;;
kejuu;keju;;;
kek;seperti;;;
kekepoanku;rasa sangat ingin tahu saya;;;
kekgini;seperti begini;;;
kekk;seperti;;;
keknya;sepertinya;;;
kekuranganny;kekurangannya;;;
kel;keluarga;;;
kelahuran;kelahiran;;;
kelaluan;kelakuan;;;
kelas'a;kelasnya;;;
kelen;kalian;;;
keles;kali;;;
keliatan;kelihatan;;;
keliatannya;kelihatannya;;;
kellen;kalian;;;
keluarin;mengeluarkan;;;
keluarin;keluarkan;;;
kelus;kali;;;
kemakan;termakan;;;
kemaren;kemarin;;;
kemariin;kemarin;;;
kemarn;kemarin;;;
kembaq;kembar;;;
kemn;kemana;;;
kemuh;kamu;;;
kenaliiin;kenalkan;;;
kenalin;mengenalkan;;;
kenalin;kenalkan;;;
kenalin;memperkenalkan;;;
kenapaa;kenapa;;;
kenape;kenapa;;;
kenceng;kencang;;;
kencng;kencang;;;
kencqng;kencang;;;
kenyataan2;kenyataan kenyataan;;;
kepad;kepada;;;
kepd;kepada;;;
kepda;kepada;;;
kepeleset;kepleset;;;
kepelesett;terpeleset;;;
kepikir;terpikir;;;
kepikiran;terpikirkan;;;
kepikirandahlah;kepikiran sudahlah;;;
kepingin;sangat ingin;;;
kepo;sangat ingin tahu;;;
kepoh;kepo;;;
kepppoin;kepoi;;;
keputihn;keputihan;;;
keq;seperti;;;
kerasin;kerasi;;;
kerass;keras;;;
kereeeeen;keren;;;
kereeeeennn;keren;;;
kereeeeennnn;keren;;;
kereeeen;keren;;;
kereeen;keren;;;
kereeennnn;keren;;;
kereen;keren;;;
kereenn;keren;;;
kereennn;keren;;;
"keren\\""""";keren keren;;;
"keren\\""""";keren keren;;;
keren2;keren keren;;;
kerenn;keren;;;
kerennn;keren;;;
kerennnn;keren;;;
kerennnnn;keren;;;
kerennnnnn;keren;;;
kerjaan;pekerjaan;;;
kerjasama;kerja sama;;;
kerreeen;keren;;;
kerrennn;keren;;;
kerrrrennnn;keren;;;
kerumah;ke rumah;;;
kesalahanny;kesalahannya;;;
kesampean;kesampaian;;;
kesampean;kesampaian;;;
kesini;ke sini;;;
kesinii;kesini;;;
kesiniii;kesini;;;
ketaatanny;ketaatannya;;;
ketara;tertara;;;
ketarik;tertarik;;;
ketauan;ketahuan;;;
ketawa;tertawa;;;
ketawaa;ketawa;;;
ketawain;mentertawakan;;;
ketawakkkk;ketawa;;;
ketebak;tertebak;;;
ketemu;bertemu;;;
ketemuuu;ketemu;;;
ketipu;tertipu;;;
ketuker;tertukar;;;
kgak;kagak;;;
kgeeeen;kangen;;;
kget;kaget;;;
kgn;kangen;;;
kh;kah;;;
kha;kah;;;
khaaannn;kan;;;
khadiran;kehadiran;;;
khadirannya;kehadirannya;;;
khan;kan;;;
kharismanya;karismanya;;;
khdpn;kehidupan;;;
khidupan;kehidupan;;;
kinclong;berkilau;;;
kinyis;sangat muda;;;
kira2;kira kira;;;
kirain;mengira;;;
kirakira;kira kira;;;
kiriii;kiri;;;
kirimin;kirimkan;;;
kitaa;kita;;;
kitaaa;kita;;;
kite;kita;;;
kiya;kita;;;
kk;kakak;;;
kka;kakak;;;
kkak;kakak;;;
kki;kaki;;;
kklau;kalau;;;
kl;kalau;;;
kl;kalau;;;
klahiran;kelahiran;;;
klakuan;kelakuan;;;
klas;kelas;;;
klau;kalau;;;
klauu;kalau;;;
klen;kalian;;;
klepek2;klepek klepek;;;
klg;keluarga;;;
klhran;kelahiran;;;
kli;kali;;;
klian;kalian;;;
kliatan;kelihatan;;;
kliatanya;kelihatannya;;;
klihatan;kelihatan;;;
klk;kelak;;;
klkuan;kelakuan;;;
kll;kalau;;;
klmbutan;kelembutan;;;
kln;kalian;;;
klo;kalau;;;
klok;kalau;;;
kloop;klop;;;
klow;kalau;;;
klrga;keluarga;;;
klu;kalau;;;
kluar;keluar;;;
kluarga;keluarga;;;
klw;kalau;;;
km;kamu;;;
kmana;kemana;;;
kmana2;kemana mana;;;
kmar;kamar;;;
kmaren;kemarin;;;
kmariiin;kemarin;;;
kmarin;kemarin;;;
kmarn;kemarin;;;
kmauan;kemauan;;;
kmbali;kembali;;;
kmbang;kembang;;;
kmbl;kembali;;;
kmewahan;kemewahan;;;
kmi;kami;;;
kmn;kemana;;;
kmren;kemarin;;;
kmren;kemarin;;;
kmrin;kemarin;;;
kmrn;kemarin;;;
kmu;kamu;;;
kn;kan;;;
knan;kanan;;;
kndung;kandung;;;
kngen;kangen;;;
kngenn;kangen;;;
kngn;kangen;;;
knl;kenal;;;
knlan;kenalan;;;
know;tahu;;;
known;diketahui;;;
knp;kenapa;;;
knpa;kenapa;;;
knpp;kenapa;;;
knsul;konsultasi;;;
knyataan;kenyataan;;;
ko;kok;;;
kobul;kabul;;;
kocaaaak;kocak;;;
kocaaaakkk;kocak;;;
kocakkk;kocak;;;
kocakkkkkk;kocak;;;
kocakkkkkkkkkkkkkk;kocak;;;
koclak;kocak;;;
kog;kok;;;
kog;kok;;;
kokkk;kok;;;
kokohh;engkoh;;;
kolab;kolaborasi;;;
komen2;komen komen;;;
komen2an;komen komenan;;;
komenan;komentar;;;
komenannya;komentarnya;;;
koment;komentar;;;
komentar2;komentar komentar;;;
komentarin;komentari;;;
komentnya;komentarnya;;;
komenx;komennya;;;
komntr;komentar;;;
komuk;muka;;;
komunitas2;komunitas komunitas;;;
konsekwensi;konsekuensi;;;
konsul;konsultasi;;;
kontak2;kontak kontak;;;
konten2;konten konten;;;
koplak;kocak;;;
koplakkk;koplak;;;
koq;kok;;;
koq;kok;;;
korek2;korek korek;;;
koriya;korea;;;
korsel;korea selatan;;;
kostom;kostum;;;
kox;kok;;;
kpada;kepada;;;
kpan;kapan;;;
kpancing;terpancing;;;
kpd;kepada;;;
kpleset;kepleset;;;
kpn;kapan;;;
kpn2;kapan kapan;;;
kpnpun;kapanpun;;;
kpop;korea pop;;;
kpuasan;kepuasan;;;
kq;kok;;;
kqmu;kamu;;;
kr;kira;;;
kra;kira;;;
kra;kira;;;
kraya;karya;;;
kreative;kreatif;;;
kreean;keren;;;
kreeenn;keren;;;
kreen;keren;;;
kren;keren;;;
krena;karena;;;
krenn;keren;;;
kri;kiri;;;
kriput;keriput;;;
krjaan;pekerjaan;;;
krm;kirim;;;
krmh;ke rumah;;;
krn;karena;;;
krna;karena;;;
krng;kurang;;;
krpoooo;kepo;;;
krudung;kerudung;;;
krudungan;kerudungan;;;
krus;kurus;;;
krya;karya;;;
ksenangan;kesenangan;;;
ksh;kasih;;;
ksih;kasih;;;
ksini;kesini;;;
ksitu;kesitu;;;
kslahan;kesalahan;;;
kslhn;kesalahan;;;
ksni;kesini;;;
ksukaanmuuu;kesukaanmu;;;
ksyngn;kesayangan;;;
kt;kita;;;
kt2;kata kata;;;
kta;kata;;;
ktaa;kita;;;
ktaatan;ketaatan;;;
ktanya;katanya;;;
ktawa;ketawa;;;
ktemu;ketemu;;;
ktergantungan;ketergantungan;;;
ktg;kita;;;
ktika;ketika;;;
ktmu;ketemu;;;
ktny;katanya;;;
ktnya;katanya;;;
ktwa;ketawa;;;
ku;saya;;;
kuaaatt;kuat;;;
kuatttt;kuat;;;
kubarikan;kuberikan;;;
kucing'y;kucingnya;;;
kucing'y;kucingnya;;;
kudu;harus;;;
kuduga;saya duga;;;
kudunya;harusnya;;;
kueren2;keren keren;;;
kulitku;kulit saya;;;
kuliyh;kuliah;;;
kuninggg;kuning;;;
kuningggg;kuning;;;
kunjungin;kunjungi;;;
kupake;saya pakai;;;
kura2;kura kura;;;
kurangin;kurangi;;;
kureeeen;keren;;;
kurng;kurang;;;
kusem;kusam;;;
kususnya;khususnya;;;
kutuu;kutu;;;
kuu;ku;;;
kuy;ayo;;;
kuyy;ayo;;;
kuyyy;ayo;;;
kw;kau;;;
kwatir;kawatir;;;
kwkwwkwk;tertawa;;;
kx;kakak;;;
ky;kaya;;;
kya;kaya;;;
kyak;seperti;;;
kyaknya;sepertinya;;;
kyanya;sepertinya;;;
kyax;seperti;;;
kyk;seperti;;;
kyk.a;sepertinya;;;
kyknya;sepertinya;;;
kyy;kaya;;;
la;lah;;;
laa;lah;;;
laaaah;lah;;;
ladenin;meladeni;;;
laen;lain;;;
laenny;lainnya;;;
lafazd;lafaz;;;
lagihh;lagi;;;
lagii;lagi;;;
lagiii;lagi;;;
lagiii;lagi;;;
lagiii;lagi;;;
lagiiii;lagi;;;
laginy;laginya;;;
lagu2;lagu lagu;;;
lagu2nya;lagu lagunya;;;
lagu'y;lagunya;;;
lahh;lah;;;
lahhh;lah;;;
lahhhhhh;lah;;;
lahirr;lahir;;;
lainnn;lain;;;
lainnyaa;lainnya;;;
lairannya;kelahirannya;;;
lak;kalau;;;
lakasyut;like I should;;;
"laki\\""""";laki laki;;;
laki2;laki laki;;;
lakik;laki;;;
"laku\\""""";laku laku;;;
lakuin;melakukan;;;
lama2;lama lama;;;
lamgsung;langsung;;;
lancr;lancar;;;
langgengggg;langgeng;;;
langgenh;langgeng;;;
lanjutin;lanjutkan;;;
lanjutkaaaaan;lanjutkan;;;
lapakk;lapak;;;
latian;latihan;;;
lau;kau;;;
lauching;launching;;;
launchingnya;launching nya;;;
launchingnyaaaa;launching nya;;;
lawaaaas;lawas;;;
lbh;lebih;;;
lbih;lebih;;;
lbihh;lebih;;;
lcu;lucu;;;
le;boleh;;;
lebar2;lebar lebar;;;
lebay;berlebihan;;;
lebayy;berlebihan;;;
lebh;lebih;;;
ledekin;ledeki;;;
ledkin;meledeki;;;
leh;boleh;;;
lekong;laki;;;
lembab;lembap;;;
lemes;lemas;;;
lengkapp;lengkap;;;
lengkeeett;lengket;;;
lenje;lenjeh;;;
lepasin;melepas;;;
lg;lagi;;;
lggeng;langgeng;;;
lggi;lagi;;;
lgi;lagi;;;
lgkah2;langkah langkah;;;
lgs;langsung;;;
lgsg;langsung;;;
lgsung;langsung;;;
lgu;lagu;;;
lgunya;lagunya;;;
lh;lah;;;
lh;boleh;;;
lha;lah;;;
lhat;lihat;;;
lhh;lah;;;
lhir;lahir;;;
lhirr;lahir;;;
lhoo;loh;;;
lhooo;loh;;;
lht;lihat;;;
liaaaat;lihat;;;
liaat;lihat;;;
liaatt;lihat;;;
liad;lihat;;;
liat;lihat;;;
liat2;lihat lihat;;;
liatain;lihatkan;;;
liatiii;lihat;;;
liatin;memperlihatkan;;;
liatin;perlihatkan;;;
liatlah;lihatlah;;;
liatnya;lihatnya;;;
liatnyaaa;lihatnya;;;
liatt;lihat;;;
liattt;lihat;;;
liat'y;lihatnya;;;
lihaat;lihat;;;
lihaatttt;lihat;;;
liht;lihat;;;
lipetan;lipatan;;;
lipetan;lipatan;;;
liptsk;lipstik;;;
liyat;lihat;;;
liyatnya;lihatnya;;;
lkuin;lakukan;;;
llki;lelaki;;;
lluu;lu;;;
lluuccuu;lucu;;;
lma;lama;;;
lngsing;langsing;;;
lngsung;langsung;;;
lo;kamu;;;
local;lokal;;;
loe;lo;;;
lohh;loh;;;
lohhh;loh;;;
lohhhh;loh;;;
loksyut;lokasi syuting;;;
loksyut;lokasi syuting;;;
lol;laughing out loud;;;
loncatt;loncat;;;
loncattt;loncat;;;
loo;loh;;;
looh;loh;;;
looh;loh;;;
loohhh;loh;;;
looo;loh;;;
loooh;loh;;;
looohh;loh;;;
lopat;lompat;;;
lotion;losion;;;
lotionnya;losionnya;;;
lsg;langsung;;;
lt;lantai;;;
luaarrr;luar;;;
luccu;lucu;;;
luchu;lucu;;;
luco;lucu;;;
lucu2;lucu lucu;;;
lucuk;lucu;;;
lucukkkkk;lucu;;;
lucunaaa;lucunya;;;
lucunyah;lucunya;;;
lucuu;lucu;;;
lucuukk;lucu;;;
lucuuu;lucu;;;
lucuuuk;lucu;;;
lucuuuu;lucu;;;
lucuuuuu;lucu;;;
lucuuuuuuuu;lucu;;;
lucuuuuuuuuuu;lucu;;;
lucux;lucunya;;;
luh;lu;;;
luhhh;lu;;;
lupain;melupakan;;;
lurusin;meluruskan;;;
luthuna;lucunya;;;
lutu;lucu;;;
lutuna;lucunya;;;
lutunaa;lucunya;;;
lutunaaa;lucunya;;;
luu;lu;;;
luucuuu;lucu;;;
luuuaar;luar;;;
luuuucuuu;lucu;;;
luvv;love;;;
lw;lu;;;
lw;kalau;;;
lwt;lewat;;;
lyt;lihat;;;
m;sama;;;
ma;sama;;;
maaasss;mas;;;
maacih;terima kasih;;;
maafin;memaafi;;;
maak;mak;;;
maap;maaf;;;
maapin;maaf;;;
maapin;maafi;;;
maau;mau;;;
maauuu;mau;;;
macem;macam;;;
macem2;macam macam;;;
maeeen;main;;;
maeennnn;main;;;
maen;main;;;
maenn;main;;;
maenya;mainnya;;;
mahall;mahal;;;
mahh;mah;;;
mahhh;mah;;;
mahhhh;mah;;;
maho;manusia homo;;;
mai;mau;;;
main2;main main;;;
majuuu;maju;;;
makany;makanya;;;
makanyaa;makanya;;;
makasi;terima kasih;;;
makasih;terima kasih;;;
make;memakai;;;
make;pakai;;;
"maki\\""""";maki maki;;;
makin;kian;;;
makkk;mak;;;
makny;maknya;;;
maksain;memaksakan;;;
maksd;maksud;;;
maksih;terima kasih;;;
maksir;menaksir;;;
maksutku;maksudku;;;
malah;bahkan;;;
malangg;malang;;;
malem;malam;;;
males;malas;;;
malh;malah;;;
malingg;maling;;;
malsudnya;maksudnya;;;
malu2in;malu malui;;;
maluu;malu;;;
maluuu;malu;;;
maluuuu;malu;;;
mama.nyy;mamanya;;;
mamaa;mama;;;
mamas;mas;;;
mamax;mamanya;;;
mambu;aroma;;;
mamer;memamerkan;;;
mamoy;mama;;;
mampus;mati;;;
mampuussss;mampus;;;
mampuuu;mampu;;;
mancing2;memancing mancing;;;
mancungin;memancungkan;;;
mandiin;memandikan;;;
mane;mana;;;
mang;memang;;;
manisnyaaaa;manisnya;;;
manisss;manis;;;
manisss;manis;;;
manjain;memanjakan;;;
manjain;memanjakan;;;
mansetan;bermanset;;;
mansyoallah;masyaallah;;;
manta;mantan;;;
mantaaap;mantap;;;
mantaap;mantap;;;
mantab;mantap;;;
mantabb;mantab;;;
mantabs;mantab;;;
mantabs;mantab;;;
mantaff;mantap;;;
mantanny;mantannya;;;
mantapp;mantap;;;
mantappp;mantap;;;
mantapppppp;mantap;;;
manteb;mantap;;;
manteep;mantap;;;
mantep;mantap;;;
mantepp;mantap;;;
manteppp;mantap;;;
mantes;memantas;;;
mantul;mantap betul;;;
mantuls;mantap betul;;;
manusiy;manusia;;;
mao;mau;;;
marah2;marah marah;;;
marah2an;marah marahan;;;
marh;marah;;;
mariki;setelah ini;;;
marketingnya;marketing nya;;;
marketnya;market nya;;;
markitung;mari kita hitung;;;
martabakk;martabak;;;
masa2;masa masa;;;
masaaaa;masa;;;
masalahh;masalah;;;
masi;masih;;;
"masing\\""""";masing masing;;;
masing2;masih;;;
masing2;masing masing;;;
masio;masih;;;
maslah;masalah;;;
maso;masa;;;
massss;mas;;;
masukin;memasukkan;;;
masukin;memasuki;;;
masyaallah;masya allah;;;
masyaallahhh;masyaallah;;;
masyarakay;masyarakat;;;
matany;matanya;;;
mataq;mata saya;;;
mata'y;matanya;;;
mateeeeeeeeeeee;mati;;;
mateeeek;mati;;;
mateng;matang;;;
"mati\\""an""";mati matian;;;
matii;mati;;;
mato;mata;;;
mattihhh;mati;;;
mauu;mau;;;
mauuu;mau;;;
mauuuu;mau;;;
mauuuuu;mau;;;
mauuuuuu;mau;;;
mauuuuuuu;mau;;;
maw;mau;;;
max;maksimum;;;
may;mau;;;
mayan;lumayan;;;
mayann;lumayan;;;
mb;mbak;;;
mba;mbak;;;
"mba\\""""";mbak mbak;;;
mbaa;mbak;;;
mbaaa;mbak;;;
mbaaahhh;mbah;;;
mbaaass;mbak;;;
mbaak;mbak;;;
mbaakk;mbak;;;
mbahh;mbah;;;
"mbak\\""""";mbak mbak;;;
mbak2;mbak mbak;;;
mbaknyaahh;mbaknya;;;
mbakx;mbaknya;;;
mbanya;mbaknya;;;
mbayar;membayar;;;
mbe;dengan;;;
mbg;mbak;;;
mbg;mbak;;;
mbil;sambil;;;
mbk;mbak;;;
mblo;jomblo;;;
mblooo;jomblo;;;
mboizzz;bois;;;
mbuh;embuh;;;
mcm;macam;;;
"mdh\\""""";mudah mudah;;;
mdh2an;mudah mudahan;;;
mdh2n;mudah mudahan;;;
megang;memegang;;;
megang;pegang;;;
mehong;mahal;;;
mehoonggggg;mahal;;;
meker;mikir;;;
melahirin;melahirkan;;;
melakukn;melakukan;;;
melebihin;melebihi;;;
melembabkan;melembapkan;;;
melihara;memelihara;;;
meluk;memeluk;;;
membagongkan;mengejutkan;;;
"membanding\\""""";membanding banding;;;
menangeeess;menangis;;;
menangos;menangis;;;
menasehati;menasihati;;;
menbelah;membelah;;;
mendam;memendam;;;
mendapatkn;mendapatkan;;;
mengdengki;mendengki;;;
mendj;menjadi;;;
menegerti;mengerti;;;
mengait2kan;mengait ngaitkan;;;
mengalahkn;mengalahkan;;;
menggaet;menggait;;;
mengherthii;mengerti;;;
menghilangkn;menghilangkan;;;
mengikutii;mengikuti;;;
mengirusi;mengurusi;;;
mengglowing;meng glowing;;;
mengncang;mengencang;;;
mengperbolehkan;memperbolehkan;;;
menitin;menitkan;;;
menjdi;menjadi;;;
menjelekan;menjelekkan;;;
"mentah\\""""";mentah mentah;;;
"mentang\\""""";mentang mentang;;;
"mentang\\""""";mentang mentang;;;
menuhin;penuhkan;;;
menurur;menurut;;;
menyebut2;menyebut nyebut;;;
menyenangkn;menyenangkan;;;
meranin;memerankan;;;
mereka2;mereka mereka;;;
merekaa;mereka;;;
merekaaaa;mereka;;;
merekak;mereka;;;
meriahh;meriah;;;
merindinggg;merinding;;;
merk;merek;;;
merka;mereka;;;
merrid;merit;;;
mesrany;mesranya;;;
met;selamat;;;
mewahin;mewahkan;;;
mf;maaf;;;
mff;maaf;;;
mg;moga;;;
mgk;mungkin;;;
mh;mah;;;
miara;memiara;;;
mikin;makin;;;
mikir;pikir;;;
mikir2;memikir mikir;;;
mikirin;memikirkan;;;
mikirinnn;memikirkan;;;
milih;memilih;;;
milikin;memiliki;;;
mimin;admin;;;
mimpiii;mimpi;;;
min;admin;;;
minpi;mimpi;;;
minta;meminta;;;
mintk;minta;;;
"minyak\\""an""";minyak minyakan;;;
miriiiiip;mirip;;;
miriiiip;mirip;;;
miriiippp;mirip;;;
miriip;mirip;;;
miring2;miring miring;;;
miriplahhhhhh;miriplah;;;
miripp;mirip;;;
mirippp;mirip;;;
miripppp;mirip;;;
mirp;mirip;;;
mitnah;memfitnah;;;
mjb;maaf join bareng;;;
mk;maka;;;
mk.a;makanya;;;
mkanya;makanya;;;
mkin;makin;;;
mkin;makin;;;
mkir;memikir;;;
mkn;makin;;;
mknya;makanya;;;
mksd;maksud;;;
mksdku;maksudku;;;
mksdny;maksudnya;;;
mksdnya;maksudnya;;;
mksdx;maksudnya;;;
mksh;terima kasih;;;
mksih;terima kasih;;;
mkst;maksud;;;
mksud;maksud;;;
mlah;malah;;;
mlepaskan;melepaskan;;;
mleyot;melemas;;;
mlh;malah;;;
mlh;malah;;;
mlikk;milik;;;
mlm;malam;;;
mlt.a;mulutnya;;;
mlu;malu;;;
mlu;melulu;;;
mlz;malas;;;
mmang;memang;;;
mmbanggakan;membanggakan;;;
mmbela;membela;;;
mmberi;memberi;;;
mmberikan;memberikan;;;
mmberikn;memberikan;;;
mmbodohkan;membodohkan;;;
mmg;memang;;;
mmhhh;hmm;;;
mmperbaiki;memperbaiki;;;
mmz;mas;;;
mn;mana;;;
mna;mana;;;
mnambh;menambah;;;
mncoba;mencoba;;;
mndaptkan;mendapatkan;;;
mnding;mending;;;
mndpat;mendapat;;;
mndpt;mendapat;;;
mnerima;menerima;;;
mngasi;mengasih;;;
mngerti;mengerti;;;
mnghina;menghina;;;
mngikuti;mengikuti;;;
mngira;mengira;;;
mngkannya;mangkanya;;;
mngkin;mungkin;;;
mnilai;menilai;;;
mnis2nya;manis manisnya;;;
mnisss;manis;;;
mnjadi;menjadi;;;
mnjawab;menjawab;;;
mnjdi;menjadi;;;
mnjdkan;menjadikan;;;
mnjijikaaaaaan;menjijikkan;;;
mnjmput;menjemput;;;
mnjual;menjual;;;
mnrt;menurut;;;
mnrtkuu;menurutku;;;
mnt;minta;;;
mnta;minta;;;
mntapp;mantap betul;;;
mntn;mantan;;;
mnurut;menurut;;;
mnusuk;menusuk;;;
mnutup;menutup;;;
mo;mau;;;
model2;model model;;;
modes;modis;;;
moga;semoga;;;
mohom;mohon;;;
moodbooster;penyemangat;;;
moqa;moga;;;
motret;memotret;;;
mrah;marah;;;
mrangkul;merangkul;;;
mreka;mereka;;;
mrekaa;mereka;;;
mrekaaaa;mereka;;;
mrip;mirip;;;
mrit;merit;;;
mrk;mereka;;;
mrka;mereka;;;
mrnghadapi;menghadapi;;;
mrusak;merusak;;;
ms;masih;;;
"ms\\""""";masa masa;;;
msa;masa;;;
msalah;masalah;;;
msg2;masing masing;;;
msh;masih;;;
msih;masih;;;
msk;masuk;;;
mskasih;terima kasih;;;
msknya;masaknya;;;
mslh;masalah;;;
mslhnya;masalahnya;;;
mst;mesti;;;
msuk;masuk;;;
msuk;masuk;;;
mtanya;matanya;;;
mti;mati;;;
muahal;mahal;;;
mualll;mual;;;
muantaap;mantap;;;
muantteepp;mantap;;;
mudaa;muda;;;
"mudah\\""an""";mudah mudahan;;;
"mudah\\""n""";mudah mudahan;;;
mudah2;mudah mudah;;;
mudah2an;mudah mudahan;;;
mudah2n;mudah mudahan;;;
"mudh\\""an""";mudah mudahan;;;
muga;moga;;;
"muka\\""""";muka muka;;;
muka2;muka muka;;;
mukae;mukanya;;;
mukanyaa;mukanya;;;
mukax;mukanya;;;
muke;muka;;;
muliany;mulianya;;;
mulu;terus;;;
mulusssss;mulus;;;
mulut2;mulut mulut;;;
mulutny;mulutnya;;;
mulutnyaaa;mulutnya;;;
muluuu;melulu;;;
muna;munafik;;;
munaafikk;munafik;;;
munafikk;munafik;;;
mungki;mungkin;;;
mungkiin;mungkin;;;
mupeng;muka ingin;;;
muraaaaah;murah;;;
murahhh;murah;;;
murce;murah sekali;;;
murhan;murahan;;;
murmer;murah meriah;;;
mutihin;memutihkan;;;
mutuain;memutuskan;;;
mutusin;memutuskan;;;
muuuu;mu;;;
mw;mau;;;
mz;mas;;;
na;nya;;;
naaaa;nya;;;
naaaaahh;nah;;;
naaaak;nak;;;
naaahhh;nah;;;
naek;naik;;;
nafass;nafas;;;
nafkahin;menafkahi;;;
naggung;menanggung;;;
nagiss;menangis;;;
nahan;menahan;;;
nahannnn;tahan;;;
nahh;nah;;;
nahhh;nah;;;
naikin;naikkan;;;
naikkin;naikkan;;;
najiss;najis;;;
naka;nakal;;;
naksir;menaksir;;;
nakutin;menakutkan;;;
nama.a;namanya;;;
"nama\\""""";nama nama;;;
namain;menamai;;;
namain;namai;;;
nama'in;namai;;;
namane;namanya;;;
namany;namanya;;;
namax;namanya;;;
nambah;bertambah;;;
nambahh;bertambah;;;
name;nama;;;
namnya;namanya;;;
nampak;menampak;;;
nampar;menampar;;;
nampol;pas;;;
nan;dan;;;
nanget;banget;;;
nanggepin;menanggapi;;;
nanggung;tanggung;;;
nangiiiiis;menangis;;;
nangiiis;menangis;;;
nangiis;menangis;;;
nangiizzzzz;menangis;;;
nangis;menangis;;;
"nangis\\""""";menangis nangis;;;
nangiss;menangis;;;
nangisss;menangis;;;
nangissss;menangis;;;
nangisssss;menangis;;;
nantangin;menantang;;;
nantii;nanti;;;
nantiii;nanti;;;
nantiii;nanti;;;
nantik;nanti;;;
nanya;tanya;;;
nanya;bertanya;;;
napa;kenapa;;;
napsuu;napsu;;;
nari;menari;;;
narik;menarik;;;
nasehatin;menasihati;;;
natap;menatap;;;
naturalllll;natural;;;
nawarin;menawari;;;
ncek;encek;;;
nd;indak;;;
nda;indak;;;
ndak;indak;;;
nder;sender;;;
ndukung;mendukung;;;
ndut;gendut;;;
ne;ini;;;
nebak;tebak;;;
nee;ini;;;
negri;negeri;;;
neh;nih;;;
nehh;nih;;;
neko2;neko neko;;;
nembak;menembak;;;
nempel;menempel;;;
nemuin;menemukan;;;
"nenek\\""""";nenek nenek;;;
nenek2;nenek nenek;;;
nengok;menengok;;;
nentuin;menentukan;;;
nerawang;menerawang;;;
nerima;menerima;;;
nerusin;meneruskan;;;
netaas;menetas;;;
netes;menetes;;;
nga;tidak;;;
ngaca;mengaca;;;
ngacaaa;mengaca;;;
ngaco;mengaco;;;
ngadain;mengadakan;;;
ngadat;mengadat;;;
ngademin;mengademkan;;;
ngadi;mengada;;;
ngadu;mengadu;;;
ngajak;mengajak;;;
ngajakin;mengajak;;;
